hostname,mass,age_yr,feh,av,chi2_phot,chi2_prior,chi2,distance_pc,model_G,model_BP,model_RP,model_H,model_g,model_r,model_i,model_z
HIP 65 A,0.781,4099999999.9999995,0.5,3.0,46.405117108205445,1.6384,48.04351710820544,61.778804779052706,9.002678848139604,10.381140717617631,7.6676007820341034,1.0397374184201182,13.190534261848816,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-136,1.4099999954128428,3619999942.2346773,0.08083264328500184,3.0,4.354154740851703,1.0885386848486636,5.442693425700367,266.452545166016,3.5303077204345366,4.794214203327684,2.2961617039281497,0.6205700617051202,13.134898797951722,2.6075461645047113,1.977362882276525,1.4218540216870807
KELT-1,1.3349999951283023,4999999999.999999,0.40929604004688575,3.0,8.170269961217922,2.042567363730973,10.212837324948895,269.871154785156,2.3809813482352187,3.9248827388190506,0.9415296071399168,0.9490334584670042,13.277845034966587,2.6075461645047113,1.994918925337405,1.4394100647479606
HATS-34,0.9549999958343767,7699999990.583016,0.5,3.0,26.702297543016627,1.0000000000000002,27.702297543016627,504.788970947266,7.420677907627655,8.594063180335532,6.254451962990462,1.0397374184201182,13.464104362256872,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-96,1.06,8000000000.000003,0.5,3.0,19.233433662332352,2.0736,21.30703366233235,347.290679931641,6.472484730238237,7.648853182375547,5.330461930046912,1.0397374184201182,13.481755515575509,2.6075461645047113,2.000914094274466,1.4454052336850218
TOI-198,0.467,5299999996.406559,0.5,3.0,109.14792225076931,23.04,132.1879222507693,23.7636795043945,12.377328314399252,14.62794707484261,10.60235502298457,1.0397374184201182,13.301199723035584,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-44,0.9349999188508256,1000000.0,0.5,3.0,199.52943261324288,8.290920040000106,207.820352653243,358.446197509766,6.671407811687676,8.108119447648255,5.295891366066924,1.0397374184201182,9.57899679369846,2.6075461645047113,2.000914094274466,1.4454052336850218
Gliese 12,0.2414,7000000000.000002,0.5,3.0,174.41449736763633,10.758400000000002,185.17289736763632,12.1616277694702,14.681099010377155,17.537842484603825,12.740585266335751,1.0397374184201182,13.421257584503529,2.6075461645047113,2.000914094274466,1.4454052336850218
WASP-32,0.7199999963433483,1000000.0,0.4986211998949496,2.808691400220306,240.7180315435504,15.562568128954192,256.2805996725046,276.277099609375,7.245282707493077,8.81073195146815,5.798054124989772,1.0040601103458513,9.350988798819555,2.441330999044427,1.8759098761694322,1.3559929245334295
WASP-158,1.38,1000000.0,0.5,1.9240020184249722,168.11921661787642,5.383878876170655,173.50309549404707,530.44921875,5.029184496602665,6.091625753831778,3.935600728163346,0.8466142116251327,8.296200579595133,1.672568846559028,1.2983005612834881,0.9426695953265851
HD 1397,1.324000170437112,4509999922.026438,0.43908978637737667,3.0,1.4225768334627535,0.35564423043331816,1.7782210638960718,79.9765625,3.958318006557364,5.288004985770706,2.6885055266919013,0.978827204797495,13.230309162038097,2.6075461645047113,1.996888172794865,1.4413793122054208
